position,appearances,appearance_rate,lgbm_hit_rate,lgbm_avg_rank,lgbm_fp_rate,lgbm_hits,lgbm_misses,settransformer_hit_rate,settransformer_avg_rank,settransformer_fp_rate,settransformer_hits,settransformer_misses,gnn_hit_rate,gnn_avg_rank,gnn_fp_rate,gnn_hits,gnn_misses,overall_hit_rate
29,375,0.375,0.752,7.276595744680851,0.472,94,31,1.0,2.768,0.364,125,0,1.0,2.728,0.346,125,0,0.9173333333333333
31,363,0.363,0.8099173553719008,5.744897959183674,0.481,98,23,1.0,2.84297520661157,0.365,121,0,1.0,3.5867768595041323,0.279,121,0,0.9366391184573003
32,459,0.459,0.8104575163398693,7.758064516129032,0.474,124,29,1.0,2.281045751633987,0.406,153,0,1.0,2.241830065359477,0.406,153,0,0.9368191721132898
7,411,0.411,0.8613138686131386,8.601694915254237,0.541,118,19,1.0,2.7518248175182483,0.543,137,0,1.0,3.2627737226277373,0.396,137,0,0.9537712895377128
9,384,0.384,0.875,5.946428571428571,0.557,112,16,1.0,2.484375,0.541,128,0,1.0,3.28125,0.34,128,0,0.9583333333333334
8,369,0.369,0.8861788617886179,8.917431192660551,0.589,109,14,1.0,3.16260162601626,0.338,123,0,1.0,3.065040650406504,0.377,123,0,0.962059620596206
33,390,0.39,0.8923076923076924,9.03448275862069,0.527,116,14,1.0,2.9461538461538463,0.274,130,0,1.0,2.330769230769231,0.493,130,0,0.9641025641025641
28,375,0.375,0.896,6.919642857142857,0.524,112,13,1.0,2.624,0.391,125,0,1.0,3.048,0.318,125,0,0.9653333333333334
14,348,0.348,0.896551724137931,8.336538461538462,0.611,104,12,1.0,3.3879310344827585,0.38,116,0,1.0,2.2241379310344827,0.479,116,0,0.9655172413793104
26,393,0.393,0.9007633587786259,9.09322033898305,0.567,118,13,1.0,2.6259541984732824,0.37,131,0,1.0,3.4198473282442747,0.33,131,0,0.9669211195928753
15,399,0.399,0.9022556390977443,8.333333333333334,0.607,120,13,1.0,2.917293233082707,0.41,133,0,1.0,3.210526315789474,0.381,133,0,0.9674185463659147
12,339,0.339,0.9646017699115044,6.256880733944954,0.562,109,4,1.0,3.7168141592920354,0.228,113,0,1.0,3.353982300884956,0.347,113,0,0.9882005899705014
6,372,0.372,0.967741935483871,8.458333333333334,0.613,120,4,1.0,3.2983870967741935,0.318,124,0,1.0,3.120967741935484,0.32,124,0,0.989247311827957
25,420,0.42,0.9928571428571429,5.532374100719425,0.343,139,1,1.0,3.4214285714285713,0.22,140,0,1.0,2.2785714285714285,0.403,140,0,0.9976190476190476
27,408,0.408,1.0,2.5441176470588234,0.232,136,0,1.0,3.4705882352941178,0.327,136,0,1.0,3.3970588235294117,0.335,136,0,1.0
1,366,0.366,1.0,1.8852459016393444,0.0,122,0,1.0,1.7622950819672132,0.504,122,0,1.0,3.1639344262295084,0.364,122,0,1.0
34,405,0.405,1.0,1.7851851851851852,0.0,135,0,1.0,3.066666666666667,0.326,135,0,1.0,2.22962962962963,0.483,135,0,1.0
35,393,0.393,1.0,2.1603053435114505,0.0,131,0,1.0,3.6717557251908395,0.32,131,0,1.0,3.6793893129770994,0.438,131,0,1.0
36,393,0.393,1.0,2.3282442748091605,0.037,131,0,1.0,2.633587786259542,0.265,131,0,1.0,2.4656488549618323,0.459,131,0,1.0
37,360,0.36,1.0,2.3,0.086,120,0,1.0,3.15,0.3,120,0,1.0,3.525,0.441,120,0,1.0
30,432,0.432,1.0,1.1597222222222223,0.0,144,0,1.0,1.6041666666666667,0.482,144,0,1.0,3.2291666666666665,0.414,144,0,1.0
24,333,0.333,1.0,4.963963963963964,0.835,111,0,1.0,3.4504504504504503,0.277,111,0,1.0,4.009009009009009,0.295,111,0,1.0
20,360,0.36,1.0,1.4,0.0,120,0,1.0,2.15,0.572,120,0,1.0,3.6333333333333333,0.365,120,0,1.0
22,354,0.354,1.0,1.7033898305084745,0.002,118,0,1.0,2.2457627118644066,0.608,118,0,1.0,3.2966101694915255,0.427,118,0,1.0
21,435,0.435,1.0,1.3241379310344827,0.0,145,0,1.0,3.924137931034483,0.328,145,0,1.0,3.613793103448276,0.327,145,0,1.0
38,351,0.351,1.0,1.4188034188034189,0.0,117,0,1.0,3.4957264957264957,0.446,117,0,1.0,3.606837606837607,0.404,117,0,1.0
19,402,0.402,1.0,1.7686567164179106,0.007,134,0,1.0,2.8208955223880596,0.441,134,0,1.0,3.1940298507462686,0.367,134,0,1.0
18,375,0.375,1.0,3.528,0.871,125,0,1.0,3.72,0.348,125,0,1.0,2.08,0.449,125,0,1.0
17,393,0.393,1.0,3.763358778625954,0.862,131,0,1.0,2.854961832061069,0.489,131,0,1.0,3.3893129770992365,0.434,131,0,1.0
16,357,0.357,1.0,1.1092436974789917,0.0,119,0,1.0,3.403361344537815,0.406,119,0,1.0,2.596638655462185,0.344,119,0,1.0
13,336,0.336,1.0,3.392857142857143,0.455,112,0,1.0,2.4017857142857144,0.42,112,0,1.0,2.607142857142857,0.37,112,0,1.0
11,417,0.417,1.0,2.7697841726618706,0.455,139,0,1.0,3.971223021582734,0.244,139,0,1.0,3.0575539568345325,0.414,139,0,1.0
10,462,0.462,1.0,2.538961038961039,0.373,154,0,1.0,3.227272727272727,0.488,154,0,1.0,2.727272727272727,0.348,154,0,1.0
5,363,0.363,1.0,3.239669421487603,0.677,121,0,1.0,2.5371900826446283,0.295,121,0,1.0,3.4214876033057853,0.3,121,0,1.0
4,324,0.324,1.0,3.0277777777777777,0.695,108,0,1.0,3.6203703703703702,0.47,108,0,1.0,2.212962962962963,0.439,108,0,1.0
3,381,0.381,1.0,2.9133858267716537,0.768,127,0,1.0,3.8188976377952755,0.339,127,0,1.0,3.2755905511811023,0.384,127,0,1.0
2,396,0.396,1.0,2.4166666666666665,0.52,132,0,1.0,3.946969696969697,0.318,132,0,1.0,3.4242424242424243,0.345,132,0,1.0
23,384,0.384,1.0,6.0625,0.863,128,0,1.0,2.1875,0.525,128,0,1.0,2.8984375,0.376,128,0,1.0
39,423,0.423,1.0,1.2198581560283688,0.0,141,0,1.0,2.9645390070921986,0.314,141,0,1.0,2.1134751773049647,0.463,141,0,1.0
